id,name,symbol,slung,rank,is_active,first_history,last_history
122,PotCoin,POT,potcoin,1641,1,2014-02-10T04:23:33.000Z,2022-06-08T19:09:00.000Z
128,Maxcoin,MAX,maxcoin,2191,1,2014-02-12T13:33:59.000Z,2022-06-08T19:09:00.000Z
131,Dash,DASH,dash,72,1,2014-02-14T13:44:09.000Z,2022-06-08T19:09:00.000Z
132,Counterparty,XCP,counterparty,772,1,2014-02-15T13:59:36.000Z,2022-06-08T19:09:00.000Z
141,MintCoin,MINT,mintcoin,8310,1,2014-02-19T13:39:53.000Z,2022-06-08T19:09:00.000Z
145,DopeCoin,DOPE,dopecoin,2048,1,2014-02-22T17:52:34.000Z,2022-06-08T19:09:00.000Z
148,Auroracoin,AUR,auroracoin,7716,1,2014-02-27T05:33:27.000Z,2022-06-08T19:09:00.000Z
151,Peseta Digital,PTD,pesetacoin,2188,1,2014-02-22T17:52:40.000Z,2022-06-08T19:09:00.000Z
154,Marscoin,MARS,marscoin,8344,1,2014-02-24T13:41:14.000Z,2022-06-08T19:09:00.000Z
162,Magic Internet Money,MIM,magic-internet-money,2845,1,2014-03-12T05:27:57.000Z,2022-06-08T19:10:00.000Z
168,Uniform Fiscal Object,UFO,uniform-fiscal-object,6433,1,2014-02-27T05:33:35.000Z,2022-06-08T19:09:00.000Z
170,BlackCoin,BLK,blackcoin,1399,1,2014-02-28T05:13:44.000Z,2022-06-08T19:09:00.000Z
182,Myriad,XMY,myriad,1917,1,2014-03-08T15:56:28.000Z,2022-06-08T19:09:00.000Z
184,DNotes,NOTE,dnotes,2533,1,2014-03-08T15:56:28.000Z,2022-06-08T19:09:00.000Z
201,Einsteinium,EMC2,einsteinium,1241,1,2014-04-09T04:10:24.000Z,2022-06-08T19:09:00.000Z
212,ECC,ECC,eccoin,8345,1,2014-03-20T05:09:55.000Z,2022-06-08T19:09:00.000Z
213,MonaCoin,MONA,monacoin,471,1,2014-03-20T05:09:55.000Z,2022-06-08T19:09:00.000Z
215,Rubycoin,RBY,rubycoin,8346,1,2014-03-20T05:09:56.000Z,2022-06-08T19:09:00.000Z
217,Bela,BELA,belacoin,2506,1,2014-03-20T05:10:07.000Z,2022-06-08T19:09:00.000Z
234,e-Gulden,EFL,e-gulden,1426,1,2014-03-26T12:44:50.000Z,2022-06-08T19:09:00.000Z
254,Gulden,NLG,gulden,1270,1,2014-04-08T04:11:00.000Z,2022-06-08T19:09:00.000Z
258,Groestlcoin,GRS,groestlcoin,489,1,2014-04-11T20:45:53.000Z,2022-06-08T19:09:00.000Z
260,PetroDollar,XPD,petrodollar,1581,1,2014-04-15T04:36:55.000Z,2022-06-08T19:09:00.000Z
263,PLNcoin,PLNC,plncoin,2713,1,2014-04-15T04:36:58.000Z,2022-06-08T19:09:00.000Z
268,WhiteCoin,XWC,whitecoin,312,1,2014-04-18T12:12:07.000Z,2022-06-08T19:09:00.000Z
276,Bitstar,BITS,bitstar,2138,1,2014-04-23T12:01:13.000Z,2022-06-08T19:09:00.000Z
278,Quebecoin,QBC,quebecoin,2701,1,2014-04-23T12:01:15.000Z,2022-06-08T19:09:00.000Z
290,BlueCoin,BLU,bluecoin,2123,1,2014-04-28T03:21:26.000Z,2022-06-08T19:09:00.000Z
291,MaidSafeCoin,MAID,maidsafecoin,298,1,2014-04-28T03:21:26.000Z,2022-06-08T19:09:00.000Z
293,Bitcoin Plus,XBC,bitcoin-plus,1694,1,2014-05-04T01:31:45.000Z,2022-06-08T19:09:00.000Z
298,NewYorkCoin,NYC,newyorkcoin,1445,1,2014-05-06T12:17:49.000Z,2022-06-08T19:09:00.000Z
313,Pinkcoin,PINK,pinkcoin,1812,1,2014-05-11T17:08:10.000Z,2022-06-08T19:09:00.000Z
316,Dreamcoin,DRM,dreamcoin,2584,1,2014-05-13T04:03:16.000Z,2022-06-08T19:09:00.000Z
322,Energycoin,ENRG,energycoin,2468,1,2014-05-15T12:42:25.000Z,2022-06-08T19:09:00.000Z
328,Monero,XMR,monero,27,1,2014-05-21T01:41:13.000Z,2022-06-08T19:09:00.000Z
331,Litecoin Plus,LCP,litecoin-plus,2381,1,2014-05-21T03:17:29.000Z,2022-06-08T19:09:00.000Z
333,Curecoin,CURE,curecoin,1610,1,2014-05-26T18:12:11.000Z,2022-06-08T19:09:00.000Z
341,SuperCoin,SUPER,supercoin,2590,1,2014-05-26T16:31:29.000Z,2022-06-08T19:09:00.000Z
360,Motocoin,MOTO,motocoin,1824,1,2014-06-03T12:47:54.000Z,2022-06-08T19:09:00.000Z
362,CloakCoin,CLOAK,cloakcoin,1240,1,2014-06-07T00:08:01.000Z,2022-06-08T19:09:00.000Z
366,BitSend,BSD,bitsend,2529,1,2014-06-08T14:20:12.000Z,2022-06-08T19:09:00.000Z
367,Coin2.1,C2,coin2-1,2539,1,2014-06-08T14:20:12.000Z,2022-06-08T19:09:00.000Z
372,Bytecoin,BCN,bytecoin-bcn,740,1,2014-06-17T13:01:53.000Z,2022-06-08T19:09:00.000Z
377,Navcoin,NAV,nav-coin,898,1,2014-06-12T11:43:36.000Z,2022-06-08T19:09:00.000Z
389,Startcoin,START,startcoin,2518,1,2014-06-15T14:58:33.000Z,2022-06-08T19:09:00.000Z
405,DigitalNote,XDN,digitalnote,1497,1,2014-06-24T12:58:43.000Z,2022-06-08T19:09:00.000Z
406,Boolberry,BBR,boolberry,2683,1,2014-06-24T12:58:43.000Z,2022-06-08T19:09:00.000Z
416,HempCoin,THC,hempcoin,1739,1,2014-06-28T16:33:33.000Z,2022-06-08T19:09:00.000Z
448,Stealth,XST,stealth,1782,1,2014-07-10T12:16:32.000Z,2022-06-08T19:09:00.000Z
460,Clams,CLAM,clams,8347,1,2014-08-26T02:34:53.000Z,2022-06-08T19:09:00.000Z
463,BitShares,BTS,bitshares,476,1,2014-07-21T03:44:18.000Z,2022-06-08T19:09:00.000Z
470,Viacoin,VIA,viacoin,939,1,2014-07-18T12:24:19.000Z,2022-06-08T19:09:00.000Z
501,Cryptonite,XCN,cryptonite,2046,1,2014-08-02T21:19:20.000Z,2022-06-08T19:09:00.000Z
502,Carboncoin,CARBON,carboncoin,1005,1,2014-08-02T21:19:20.000Z,2022-06-08T19:09:00.000Z
506,CannabisCoin,CANN,cannabiscoin,1570,1,2014-08-02T22:04:20.000Z,2022-06-08T19:09:00.000Z
512,Stellar,XLM,stellar,25,1,2014-08-05T05:44:19.000Z,2022-06-08T19:09:00.000Z
541,Syscoin,SYS,syscoin,163,1,2014-08-20T11:04:21.000Z,2022-06-08T19:09:00.000Z
551,Donu,DONU,donu,2600,1,2014-08-26T02:34:57.000Z,2022-06-08T19:09:00.000Z
558,Emercoin,EMC,emercoin,1525,1,2014-08-23T21:24:22.000Z,2022-06-08T19:09:00.000Z
572,RabbitCoin,RBBT,rabbitcoin,8348,1,2014-08-30T22:24:22.000Z,2022-06-08T19:09:00.000Z
576,GameCredits,GAME,gamecredits,1180,1,2014-09-01T16:54:21.000Z,2022-06-08T19:09:00.000Z
584,NativeCoin,N8V,native-coin,1894,1,2014-09-06T15:54:23.000Z,2022-06-08T19:09:00.000Z
588,Ubiq,UBQ,ubiq,1364,1,2014-09-07T21:39:22.000Z,2022-06-08T19:09:00.000Z
597,Opal,OPAL,opal,2392,1,2014-09-13T17:14:25.000Z,2022-06-08T19:09:00.000Z
601,Acoin,ACOIN,acoin,2670,1,2014-09-13T19:44:22.000Z,2022-06-08T19:09:00.000Z
624,bitCNY,BITCNY,bitcny,1024,1,2014-09-23T04:24:22.000Z,2022-06-08T19:09:00.000Z
633,ExclusiveCoin,EXCL,exclusivecoin,2263,1,2014-09-30T07:54:21.000Z,2022-06-08T19:09:00.000Z
638,Trollcoin,TROLL,trollcoin,2110,1,2014-09-30T07:54:22.000Z,2022-06-08T19:09:00.000Z
644,GlobalBoost-Y,BSTY,globalboost-y,2012,1,2014-10-03T12:39:24.000Z,2022-06-08T19:09:00.000Z
656,Prime-XI,PXI,prime-xi,2697,1,2014-10-04T20:54:34.000Z,2022-06-08T19:09:00.000Z
659,Bitswift,BITS,bitswift,1803,1,2014-10-05T17:44:24.000Z,2022-06-08T19:09:00.000Z
693,Verge,XVG,verge,308,1,2014-10-25T22:14:26.000Z,2022-06-08T19:09:00.000Z
702,SpreadCoin,SPR,spreadcoin,2694,1,2014-10-26T23:24:27.000Z,2022-06-08T19:09:00.000Z
703,Rimbit,RBT,rimbit,2377,1,2014-10-26T23:24:28.000Z,2022-06-08T19:09:00.000Z
706,MonetaryUnit,MUE,monetaryunit,1787,1,2014-11-01T20:59:25.000Z,2022-06-08T19:09:00.000Z
707,Blocknet,BLOCK,blocknet,1224,1,2014-11-01T21:19:26.000Z,2022-06-08T19:09:00.000Z
720,Crown,CRW,crown,1486,1,2014-11-08T22:54:25.000Z,2022-06-08T19:09:00.000Z
730,GCN Coin,GCN,gcn-coin,2475,1,2014-11-16T23:54:26.000Z,2022-06-08T19:09:00.000Z
733,Quotient,XQN,quotient,8349,1,2014-11-23T20:09:28.000Z,2022-06-08T19:09:00.000Z
760,OKCash,OK,okcash,1710,1,2014-12-14T03:29:25.000Z,2022-06-08T19:09:00.000Z
764,PayCoin,XPY,paycoin2,2510,1,2014-12-16T05:34:25.000Z,2022-06-08T19:09:00.000Z
788,Circuits of Value,COVAL,circuits-of-value,535,1,2015-01-23T13:39:23.000Z,2022-06-08T19:09:00.000Z
789,Nexus,NXS,nexus,790,1,2015-01-25T18:54:23.000Z,2022-06-08T19:09:00.000Z
799,SmileyCoin,SMLY,smileycoin,1735,1,2015-01-28T04:49:22.000Z,2022-06-08T19:09:00.000Z
815,Kobocoin,KOBO,kobocoin,1880,1,2015-02-15T15:14:25.000Z,2022-06-08T19:09:00.000Z
819,Bean Cash,BITB,bean-cash,2076,1,2015-02-18T13:19:25.000Z,2022-06-08T19:09:00.000Z
823,GeoCoin,GEO,geocoin,1963,1,2015-02-22T02:14:25.000Z,2022-06-08T19:09:00.000Z
825,Tether,USDT,tether,3,1,2015-02-25T13:34:26.000Z,2022-06-08T19:09:00.000Z
831,Wild Beast Block,WBB,wild-beast-block,2753,1,2015-02-28T17:14:25.000Z,2022-06-08T19:09:00.000Z
833,Gridcoin,GRC,gridcoin,1231,1,2015-02-28T18:24:26.000Z,2022-06-08T19:09:00.000Z
837,X-Coin,XCO,x-coin,2641,1,2015-03-06T04:34:28.000Z,2022-06-08T19:09:00.000Z
853,LiteDoge,LDOGE,litedoge,1738,1,2015-03-19T05:34:27.000Z,2022-06-08T19:09:00.000Z
857,SongCoin,SONG,songcoin,2656,1,2015-03-23T01:59:27.000Z,2022-06-08T19:09:00.000Z
859,Woodcoin,LOG,woodcoin,537,1,2015-03-23T02:04:27.000Z,2022-06-08T19:09:00.000Z
873,NEM,XEM,nem,90,1,2015-04-01T00:29:41.000Z,2022-06-08T19:09:00.000Z
894,Neutron,NTRN,neutron,2336,1,2015-04-21T12:14:28.000Z,2022-06-08T19:09:00.000Z
895,Xaurum,XAUR,xaurum,1444,1,2015-04-21T12:19:28.000Z,2022-06-08T19:09:00.000Z
898,Californium,CF,californium,2643,1,2015-04-21T12:14:28.000Z,2022-06-08T19:09:00.000Z
911,Advanced Internet Blocks,AIB,advanced-internet-blocks,8251,1,2015-04-30T04:24:26.000Z,2022-06-08T19:09:00.000Z
914,Sphere,SPHR,sphere,8350,1,2015-05-02T15:49:25.000Z,2022-06-08T19:09:00.000Z
916,MedicCoin,MEDIC,mediccoin,2667,1,2015-05-04T03:19:25.000Z,2022-06-08T19:09:00.000Z
918,Bubble,BUB,bubble,8351,1,2015-05-07T03:04:26.000Z,2022-06-08T19:09:00.000Z
921,Universal Currency,UNIT,universal-currency,2488,1,2015-05-07T03:04:26.000Z,2022-06-08T19:09:00.000Z
934,ParkByte,PKB,parkbyte,2616,1,2015-05-19T00:34:26.000Z,2022-06-08T19:09:00.000Z
938,ARbit,ARB,arbit,2746,1,2015-05-21T04:14:25.000Z,2022-06-08T19:09:00.000Z
945,Bata,BTA,bata,1578,1,2015-05-29T11:44:27.000Z,2022-06-08T19:09:00.000Z
948,AudioCoin,ADC,audiocoin,1936,1,2015-06-05T12:59:27.000Z,2022-06-08T19:09:00.000Z
951,Synergy,SNRG,synergy,2319,1,2015-06-08T04:44:28.000Z,2022-06-08T19:09:00.000Z
960,FujiCoin,FJC,fujicoin,1437,1,2015-06-14T16:54:26.000Z,2022-06-08T19:09:00.000Z
977,GravityCoin,GXX,gravitycoin,2755,1,2015-06-26T12:34:27.000Z,2022-06-08T19:09:00.000Z
978,Ratecoin,XRA,ratecoin,2466,1,2015-06-26T12:34:27.000Z,2022-06-08T19:09:00.000Z
986,CrevaCoin,CREVA,crevacoin,2645,1,2015-07-07T15:49:27.000Z,2022-06-08T19:09:00.000Z
990,Bitzeny,ZNY,bitzeny,2545,1,2015-07-09T15:34:27.000Z,2022-06-08T19:09:00.000Z
993,BowsCoin,BSC,bowscoin,2613,1,2015-07-13T20:39:31.000Z,2022-06-08T19:09:00.000Z
1004,HNC COIN,HNC,hnccoin,5136,1,2015-07-21T16:39:28.000Z,2022-06-08T19:09:00.000Z
1019,Manna,MANNA,manna,1847,1,2015-07-27T15:54:27.000Z,2022-06-08T19:09:00.000Z
1020,Axiom,AXIOM,axiom,8352,1,2015-07-30T03:04:30.000Z,2022-06-08T19:09:00.000Z
1026,Aeon,AEON,aeon,1451,1,2015-08-04T18:09:29.000Z,2022-06-08T19:09:00.000Z
1027,Ethereum,ETH,ethereum,2,1,2015-08-07T14:49:30.000Z,2022-06-08T19:09:00.000Z
1032,TransferCoin,TX,transfercoin,1233,1,2015-08-21T02:09:30.000Z,2022-06-08T19:09:00.000Z
1033,GuccioneCoin,GCC,guccionecoin,2469,1,2015-08-21T02:09:30.000Z,2022-06-08T19:09:00.000Z
1035,AmsterdamCoin,AMS,amsterdamcoin,2603,1,2015-08-21T02:09:30.000Z,2022-06-08T19:09:00.000Z
1037,Agoras: Currency of Tau,AGRS,agoras-tokens,860,1,2015-08-24T02:49:28.000Z,2022-06-08T19:09:00.000Z
1038,Eurocoin,EUC,eurocoin,2688,1,2015-08-24T02:49:28.000Z,2022-06-08T19:09:00.000Z
1042,Siacoin,SC,siacoin,119,1,2015-08-26T18:19:28.000Z,2022-06-08T19:09:00.000Z
1044,Global Currency Reserve,GCR,global-currency-reserve,2499,1,2015-08-26T18:19:28.000Z,2022-06-08T19:09:00.000Z
1052,VectorAI,VEC2,vector,2707,1,2015-09-04T16:39:29.000Z,2022-06-08T19:09:00.000Z
1053,Bolivarcoin,BOLI,bolivarcoin,2503,1,2015-09-08T21:29:25.000Z,2022-06-08T19:09:00.000Z
1066,Pakcoin,PAK,pakcoin,1850,1,2015-09-15T20:04:27.000Z,2022-06-08T19:09:00.000Z
1070,Expanse,EXP,expanse,2168,1,2015-09-15T20:04:27.000Z,2022-06-08T19:09:00.000Z
1082,SIBCoin,SIB,sibcoin,1155,1,2015-09-25T22:19:29.000Z,2022-06-08T19:09:00.000Z
1085,Swing,SWING,swing,2120,1,2015-09-28T15:44:31.000Z,2022-06-08T19:09:00.000Z
1087,Factom,FCT,factom,1039,1,2015-10-06T01:34:29.000Z,2022-06-08T19:09:00.000Z
1090,Save and Gain,SANDG,save-and-gain,2769,1,2015-10-12T16:30:37.000Z,2022-06-08T19:09:00.000Z
1104,Augur,REP,augur,261,1,2015-10-27T17:14:30.000Z,2022-06-08T19:09:00.000Z
1106,StrongHands,SHND,stronghands,2391,1,2015-10-30T18:09:28.000Z,2022-06-08T19:09:00.000Z
1107,PAC Protocol,PAC,pac-protocol,863,1,2015-11-02T21:59:27.000Z,2022-06-08T19:09:00.000Z
1120,DraftCoin,DFT,draftcoin,2585,1,2015-11-23T19:59:28.000Z,2022-06-08T19:09:00.000Z
1135,ClubCoin,CLUB,clubcoin,8353,1,2015-12-21T17:49:32.000Z,2022-06-08T19:09:00.000Z
1136,Adzcoin,ADZ,adzcoin,2434,1,2015-12-26T00:39:30.000Z,2022-06-08T19:09:00.000Z
1146,AvatarCoin,AV,avatarcoin,8354,1,2016-01-05T18:30:15.000Z,2022-06-08T19:09:00.000Z
1154,Validity,VAL,validity,841,1,2016-01-18T07:54:28.000Z,2022-06-08T19:09:00.000Z
1155,Litecred,LTCR,litecred,2665,1,2016-01-21T15:59:29.000Z,2022-06-08T19:09:00.000Z
1156,Yocoin,YOC,yocoin,2220,1,2016-01-21T17:00:21.000Z,2022-06-08T19:09:00.000Z
1159,SaluS,SLS,salus,8355,1,2016-01-22T17:39:30.000Z,2022-06-08T19:09:00.000Z
1164,Francs,FRN,francs,8356,1,2016-01-31T08:44:26.000Z,2022-06-08T19:09:00.000Z
1165,Evil Coin,EVIL,evil-coin,2287,1,2016-01-31T08:44:27.000Z,2022-06-08T19:09:00.000Z
1168,Decred,DCR,decred,82,1,2016-02-10T19:59:29.000Z,2022-06-08T19:09:00.000Z
1169,PIVX,PIVX,pivx,813,1,2016-02-13T21:14:26.000Z,2022-06-08T19:09:00.000Z
1172,Safex Token,SFT,safex-token,831,1,2016-02-16T19:25:13.000Z,2022-06-08T19:09:00.000Z
1175,Rubies,RBIES,rubies,2207,1,2016-02-22T19:14:29.000Z,2022-06-08T19:09:00.000Z
1185,Freedomcoin,FREED,trumpcoin,2131,1,2016-03-01T05:59:29.000Z,2022-06-08T19:09:00.000Z
1191,Memetic / PepeCoin,MEME,memetic,1452,1,2016-03-14T07:34:26.000Z,2022-06-08T19:09:00.000Z
1194,Independent Money System,IMS,independent-money-system,2681,1,2016-03-18T23:09:28.000Z,2022-06-08T19:09:00.000Z
1200,NevaCoin,NEVA,nevacoin,2485,1,2016-03-22T20:01:24.000Z,2022-06-08T19:09:00.000Z
1209,PosEx,PEX,posex,2486,1,2016-04-04T22:20:17.000Z,2022-06-08T19:09:00.000Z
1210,Cabbage,CAB,cabbage,2698,1,2016-04-04T22:20:16.000Z,2022-06-08T19:09:00.000Z
1212,MojoCoin,MOJO,mojocoin,2313,1,2016-04-06T19:34:29.000Z,2022-06-08T19:09:00.000Z
1214,Lisk,LSK,lisk,148,1,2016-04-06T20:19:57.000Z,2022-06-08T19:09:00.000Z
1216,EDRCoin,EDRC,edrcoin,2559,1,2016-04-08T17:24:28.000Z,2022-06-08T19:09:00.000Z
1218,PostCoin,POST,postcoin,2458,1,2016-04-08T17:24:28.000Z,2022-06-08T19:09:00.000Z
1223,BERNcash,BERN,berncash,2555,1,2016-04-11T07:04:29.000Z,2022-06-08T19:09:00.000Z
1229,DigixDAO,DGD,digixdao,580,1,2016-04-18T16:19:31.000Z,2022-06-08T19:09:00.000Z
1230,Steem,STEEM,steem,260,1,2016-04-18T16:19:31.000Z,2022-06-08T19:09:00.000Z
1241,FuzzBalls,FUZZ,fuzzballs,2522,1,2016-05-01T00:05:18.000Z,2022-06-08T19:09:00.000Z
1244,HiCoin,XHI,hicoin,1767,1,2016-05-04T00:04:46.000Z,2022-06-08T19:09:00.000Z
1247,AquariusCoin,ARCO,aquariuscoin,2186,1,2016-05-04T00:04:47.000Z,2022-06-08T19:09:00.000Z
1248,Bitcoin 21,XBTC21,bitcoin-21,2509,1,2016-05-05T17:59:31.000Z,2022-06-08T19:09:00.000Z
1250,Zurcoin,ZUR,zurcoin,8323,1,2016-05-09T23:04:31.000Z,2022-06-08T19:09:00.000Z
1252,2GIVE,2GIVE,2give,2144,1,2016-05-16T18:14:29.000Z,2022-06-08T19:09:00.000Z
1254,PlatinumBAR,XPTX,platinumbar,2773,1,2016-05-17T16:49:29.000Z,2022-06-08T19:09:00.000Z
1257,LanaCoin,LANA,lanacoin,1551,1,2016-05-18T22:34:30.000Z,2022-06-08T19:09:00.000Z
1259,PonziCoin,PONZI,ponzicoin,2780,1,2016-05-18T22:34:30.000Z,2022-06-08T19:09:00.000Z
1266,MarteXcoin,MXT,martexcoin,2738,1,2016-05-31T21:09:56.000Z,2022-06-08T19:09:00.000Z
1273,Citadel,CTL,citadel,2095,1,2016-06-02T14:49:29.000Z,2022-06-08T19:09:00.000Z
1274,Waves,WAVES,waves,61,1,2016-06-02T21:14:30.000Z,2022-06-08T19:09:00.000Z
1279,PWR Coin,PWR,powercoin,1372,1,2016-06-04T13:14:29.000Z,2022-06-08T19:09:00.000Z
1281,ION,ION,ion,2091,1,2016-06-08T22:14:29.000Z,2022-06-08T19:09:00.000Z
1282,High Voltage,HVCO,high-voltage,2726,1,2016-06-08T22:14:29.000Z,2022-06-08T19:09:00.000Z
1285,GoldBlocks,GB,goldblocks,2461,1,2016-06-14T17:19:31.000Z,2022-06-08T19:09:00.000Z
1291,Comet,CMT,comet,2732,1,2016-06-26T19:39:29.000Z,2022-06-08T19:09:00.000Z
1294,Rise,RISE,rise,1984,1,2016-06-30T04:54:30.000Z,2022-06-08T19:09:00.000Z
1297,ChessCoin,CHESS,chesscoin,1413,1,2016-07-02T03:40:41.000Z,2022-06-08T19:09:00.000Z
1298,LBRY Credits,LBC,library-credits,821,1,2016-07-07T05:24:28.000Z,2022-06-08T19:09:00.000Z
1299,PUTinCoin,PUT,putincoin,1348,1,2016-07-07T05:24:28.000Z,2022-06-08T19:09:00.000Z
1306,Cryptojacks,CJ,cryptojacks,2206,1,2016-07-11T19:14:32.000Z,2022-06-08T19:09:00.000Z
1308,HEAT,HEAT,heat-ledger,2082,1,2016-07-12T17:44:31.000Z,2022-06-08T19:09:00.000Z
1312,Steem Dollars,SBD,steem-dollars,467,1,2016-07-18T20:54:29.000Z,2022-06-08T19:09:00.000Z
1320,Ardor,ARDR,ardor,182,1,2016-07-23T14:40:05.000Z,2022-06-08T19:09:00.000Z
1321,Ethereum Classic,ETC,ethereum-classic,28,1,2016-07-24T13:44:30.000Z,2022-06-08T19:09:00.000Z
1340,Karbo,KRB,karbo,1722,1,2016-08-12T01:45:57.000Z,2022-06-08T19:09:00.000Z
1343,Stratis,STRAX,stratis,296,1,2016-08-12T01:45:56.000Z,2022-06-08T19:09:00.000Z
1351,Aces,ACES,aces,8357,1,2016-08-19T17:29:31.000Z,2022-06-08T19:09:00.000Z
1353,TajCoin,TAJ,tajcoin,2587,1,2016-08-19T17:29:31.000Z,2022-06-08T19:09:00.000Z
1368,Veltor,VLT,veltor,2659,1,2016-09-03T22:19:32.000Z,2022-06-08T19:09:00.000Z
1376,Neo,NEO,neo,60,1,2016-09-09T03:09:33.000Z,2022-06-08T19:09:00.000Z
1381,Bitcloud,BTDX,bitcloud,2634,1,2016-09-12T18:19:35.000Z,2022-06-08T19:09:00.000Z
1382,NoLimitCoin,NLC,nolimitcoin,5553,1,2016-09-12T18:19:35.000Z,2022-06-08T19:09:00.000Z
1389,Zayedcoin,ZYD,zayedcoin,2640,1,2016-09-17T22:55:32.000Z,2022-06-08T19:09:00.000Z
1392,Pluton,PLU,pluton,694,1,2016-09-17T22:59:34.000Z,2022-06-08T19:09:00.000Z
1395,Dollarcoin,DLC,dollarcoin,2644,1,2016-09-21T21:29:34.000Z,2022-06-08T19:09:00.000Z
1396,MustangCoin,MST,mustangcoin,2569,1,2016-09-21T21:29:34.000Z,2022-06-08T19:09:00.000Z
1398,PROUD Money,PROUD,proud-money,8358,1,2016-09-22T20:54:34.000Z,2022-06-08T19:09:00.000Z
1414,Firo,FIRO,firo,590,1,2016-10-06T20:34:49.000Z,2022-06-08T19:09:00.000Z
1437,Zcash,ZEC,zcash,44,1,2016-10-29T15:19:32.000Z,2022-06-08T19:09:00.000Z
